Ticker,Rank,Name,Market Cap,Country,Shares,6mo Gain Abs,6mo Gain Pct,1st Month Gain,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,6mo Veredict_loss,6mo Veredict_neutral,6mo Veredict_gain,6mo Veredict_big gain
PRX.VI,77,Prosus,170580000000.0,🇳🇱 Netherlands,2069894430.2875865,-10.58999999999999,-0.1240773286467485,-2.240000000000009,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TCS.NS,78,Tata Consultancy Services,169770000000.0,🇮🇳 India,3698692810.4575167,396.5,0.1286711017361674,188.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CICHY,79,China Construction Bank,169110000000.0,🇨🇳 China,12763018867.924528,-2.6499999999999986,-0.1669817265280402,-0.7900000000000009,0,0,0,0,1,0,0,0,0,0,1,0,0,0
LIN,80,Linde,167730000000.0,🇬🇧 UK,512543926.6615737,28.980000000000015,0.0961927838815681,-11.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SE,81,Sea (Garena),160610000000.0,🇸🇬 Singapore,554611692.3926932,33.51999999999998,0.1319685039370077,21.360000000000014,1,0,0,0,0,0,0,0,0,0,0,0,1,0
UNP,82,Union Pacific Corporation,158530000000.0,🇺🇸 USA,642862935.9286294,23.81,0.1065038468420112,-4.799999999999983,0,0,0,0,0,0,1,0,0,0,0,0,1,0
SAP,83,SAP,157760000000.0,🇩🇪 Germany,1180308244.800239,-5.969999999999999,-0.0422087104072398,0.5300000000000011,0,0,0,0,0,0,0,0,1,0,0,1,0,0
SCHW,84,Charles Schwab,157180000000.0,🇺🇸 USA,1890546066.8751504,10.329999999999998,0.1422669053849332,-1.039999999999992,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ACGBY,85,Agricultural Bank of China,157020000000.0,🇨🇳 China,18648456057.00713,-1.4900000000000002,-0.1505050505050504,-1.459999999999999,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MDT,86,Medtronic,154010000000.0,🇮🇪 Ireland,1345770709.542118,-14.72,-0.1149102263856362,-2.460000000000008,0,0,0,0,0,1,0,0,0,0,1,0,0,0
KYCCF,87,Keyence,153610000000.0,🇯🇵 Japan,242516577.20239976,156.99000000000007,0.3234639634070961,0.6700000000000159,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SONY,88,Sony,151580000000.0,🇯🇵 Japan,1240222549.5009,25.0,0.2583178342632775,-2.390000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,1
RY,89,Royal Bank Of Canada,148590000000.0,🇨🇦 Canada,1424640460.21093,1.4599999999999935,0.0142508540751584,-2.6799999999999926,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HON,90,Honeywell,146090000000.0,🇺🇸 USA,688421846.284341,-9.0,-0.04,-11.560000000000002,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CDI.PA,91,Dior,145320000000.0,🇫🇷 France,180398485.5067966,70.0,0.109546165884194,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TMUS,92,T-Mobile US,142990000000.0,🇺🇸 USA,1249039133.4730957,-22.27,-0.1616931677920569,3.380000000000024,1,0,0,0,0,0,0,0,0,0,1,0,0,0
BLK,93,BlackRock,141390000000.0,🇺🇸 USA,151914646.72511604,63.069999999999936,0.0722981337979733,-2.0699999999999363,0,0,0,0,1,0,0,0,0,0,0,0,1,0
JD,94,Jingdong Mall,140970000000.0,🇨🇳 China,1577551477.1709938,17.799999999999997,0.2483951995534468,5.8700000000000045,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BHP,95,BHP Group,140400000000.0,🇦🇺 Australia,2530641672.674838,-17.519999999999996,-0.239835728952772,-1.2800000000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM,96,Philip Morris,140160000000.0,🇺🇸 USA,1556814395.2015994,-8.509999999999991,-0.0866951915240422,2.6799999999999926,0,0,1,0,0,0,0,0,0,0,1,0,0,0
PNGAY,97,Ping An Insurance,138790000000.0,🇨🇳 China,9538831615.120274,-6.34,-0.3006164058795637,-2.3100000000000023,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TD,98,Toronto Dominion Bank,137620000000.0,🇨🇦 Canada,1819888918.2755885,2.0600000000000023,0.028169014084507,-2.049999999999997,0,0,0,0,1,0,0,0,0,0,0,1,0,0
SIEGY,99,Siemens,136560000000.0,🇩🇪 Germany,1608101742.8167686,2.289999999999992,0.0273237083880204,-2.4200000000000017,0,0,0,0,0,0,1,0,0,0,0,1,0,0
AAIGF,100,AIA,136210000000.00002,🇭🇰 Hong Kong,12096802841.918297,-2.1,-0.160673297628156,-0.9399999999999996,0,0,0,0,1,0,0,0,0,0,1,0,0,0
PTR,101,PetroChina,134860000000.00002,🇨🇳 China,2924111014.7441463,5.449999999999996,0.1342695245134268,7.780000000000001,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AMAT,102,Applied Materials,134539999999.99998,🇺🇸 USA,902892423.3272934,14.339999999999977,0.1065537226928219,4.27000000000001,0,0,0,0,0,0,0,0,1,0,0,0,1,0
000858.SZ,103,Wuliangye Yibin,134530000000.0,🇨🇳 China,3881419503.7507215,-78.84,-0.2584833284154618,-17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UL,104,Unilever,134300000000.00002,🇳🇱 Netherlands,2577735124.760077,-8.280000000000001,-0.1367916735503056,-1.4699999999999989,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SBUX,105,Starbucks,133699999999.99998,🇺🇸 USA,1173115732.2102306,1.0600000000000025,0.0094205474582296,-2.069999999999993,0,1,0,0,0,0,0,0,0,0,0,1,0,0
C,106,Citigroup,133500000000.0,🇺🇸 USA,1984244946.4922712,-9.960000000000008,-0.1276432141484045,-7.959999999999994,0,0,0,0,1,0,0,0,0,0,1,0,0,0
GS,107,Goldman Sachs,133160000000.0,🇺🇸 USA,333575490.3679952,38.04999999999996,0.1033153221645983,7.509999999999991,0,0,0,0,1,0,0,0,0,0,0,0,1,0
002594.SZ,108,BYD,133030000000.0,🇨🇳 China,2860860215.0537634,131.05999999999997,0.7555196864011067,47.13999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AXP,109,American Express,132919999999.99998,🇺🇸 USA,774546937.824136,12.210000000000008,0.0769667170953101,5.099999999999994,0,0,0,0,1,0,0,0,0,0,0,0,1,0
RTX,110,Raytheon Technologies,131400000000.0,🇺🇸 USA,1507053561.1882098,0.8299999999999983,0.0095975948196114,-3.3999999999999915,0,0,0,0,0,0,1,0,0,0,0,1,0,0
BACHF,111,Bank of China,131220000000.0,🇨🇳 China,354648648648.6487,-0.02,-0.0512820512820513,-0.02,0,0,0,0,1,0,0,0,0,0,1,0,0,0
NOW,112,ServiceNow,129210000000.00002,🇺🇸 USA,198995857.14065704,160.54999999999995,0.3370350155344697,75.66999999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,1
VOW3.DE,113,Volkswagen,129180000000.0,🇩🇪 Germany,668011169.7176543,-42.29999999999998,-0.192622950819672,-17.200000000000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,114,HDFC Bank,128180000000.0,🇮🇳 India,1846974063.400576,-5.879999999999996,-0.0778601694915254,-3.4099999999999966,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TTE,115,TotalEnergies,128050000000.00002,🇫🇷 France,2635315908.6231737,0.6400000000000006,0.0133611691022965,-1.4299999999999995,0,0,0,1,0,0,0,0,0,0,0,1,0,0
BMY,116,Bristol-Myers Squibb,126090000000.0,🇺🇸 USA,2219503608.5196266,-9.840000000000003,-0.1462327240303166,1.0999999999999943,0,0,0,0,0,1,0,0,0,0,1,0,0,0
EL,117,Estee Lauder,125690000000.0,🇺🇸 USA,359926691.67549616,47.30000000000001,0.1563843152813595,11.560000000000002,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BA,118,Boeing,123760000000.0,🇺🇸 USA,587654320.9876543,-28.31,-0.1192301212938005,-7.460000000000008,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0941.HK,119,China Mobile,123690000000.0,🇨🇳 China,20478476821.19205,-2.299999999999997,-0.0459999999999999,-0.2000000000000028,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SNY,120,Sanofi,123330000000.0,🇫🇷 France,2510278852.025239,-3.760000000000005,-0.0700577603875536,-0.7700000000000031,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CVS,121,CVS Health,122300000000.0,🇺🇸 USA,1320021586.6162975,3.930000000000007,0.0438078252145803,-3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ISRG,122,Intuitive Surgical,121250000000.0,🇺🇸 USA,357227034.3527193,57.59299999999996,0.2069405368891186,25.82000000000005,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AMT,123,American Tower,120900000000.0,🇺🇸 USA,455401536.8389332,9.22,0.0364744046206186,14.679999999999978,0,0,0,0,0,0,0,1,0,0,0,1,0,0
DEO,124,Diageo,120800000000.0,🇬🇧 UK,582814686.1581511,16.120000000000005,0.0840634125990822,-1.5600000000000025,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HSBC,125,HSBC,120770000000.0,🇬🇧 UK,4078689631.881121,-1.9499999999999995,-0.0617675007918909,-3.530000000000001,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CHTR,126,Charter Communications,120600000000.0,🇺🇸 USA,179280203.3626187,-28.389999999999983,-0.0403766017663874,26.920000000000076,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TGT,127,Target,119630000000.0,🇺🇸 USA,480905290.2395884,23.77000000000001,0.1054522869437912,14.820000000000022,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CBA.AX,128,Commonwealth Bank,116530000000.0,🇦🇺 Australia,1706149341.1420205,-1.5799999999999983,-0.015998379910895,-0.7599999999999909,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMGN,129,Amgen,114880000000.0,🇺🇸 USA,563220081.3845173,-43.22,-0.1744500504540868,5.810000000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ABNB,130,Airbnb,114300000000.0,🇺🇸 USA,635388292.8456279,42.360000000000014,0.3116768449709368,12.73999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PLD,131,Prologis,114230000000.0,🇺🇸 USA,739304899.3592649,34.43000000000001,0.2914092255607279,1.6899999999999975,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DE,132,Deere & Company,114050000000.0,🇺🇸 USA,310036426.9015386,-10.08000000000004,-0.0280498664292075,-8.390000000000043,0,0,0,0,0,0,1,0,0,0,0,1,0,0
GE,133,General Electric,112260000000.0,🇺🇸 USA,1098112100.1662917,-3.3599999999999994,-0.0318664643399089,-4.799999999999997,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CAT,134,Caterpillar,112010000000.0,🇺🇸 USA,540928188.535278,-33.72,-0.1410583559924701,-23.450000000000017,0,0,0,0,0,0,1,0,0,0,1,0,0,0
SPGI,135,S&P Global,111710000000.0,🇺🇸 USA,240998425.1289021,79.28999999999996,0.2091808468539768,30.97999999999996,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MRNA,136,Moderna,110840000000.0,🇺🇸 USA,405428142.94597465,112.21,0.6834988122068588,49.97,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TCL.AX,137,Transurban,109780000000.0,🇦🇺 Australia,10978000000.0,0.1500000000000003,0.0108303249097472,0.3099999999999987,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LFC,138,China Life Insurance,109220000000.0,🇨🇳 China,12468036529.680368,-1.5999999999999996,-0.1534036433365292,-0.75,0,0,0,0,1,0,0,0,0,0,1,0,0,0
IDEXY,139,Inditex,108970000000.0,🇪🇸 Spain,6241122565.864834,-1.7199999999999989,-0.0873096446700507,-1.7200000000000024,0,1,0,0,0,0,0,0,0,0,1,0,0,0
SNOW,140,Snowflake,106920000000.0,🇺🇸 USA,300877982.89058983,109.65,0.46875,3.77000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,1
OGZPY,141,Gazprom,106280000000.0,🇷🇺 Russia,11822024471.635147,2.1000000000000005,0.2987197724039829,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1
